HostID,HostSp,Longitude,Latitude,Year,TL,SL,Clav.mariae,Cope.chalimis,Cope.maca,Cope_sp2,Acanth.dojirii,Ocean.pallida,Metacercaria_sp2,Metacercaria_sp1,Trypano,Acanth.Corn.Echino,D_varicus,T_lindbergi,L_calli,C_annulatus,Contracaecum,Contracaecum_sp2,Trem_sp1,Trem_sp2,Trem_sp3,C_parophrysi,Spirurid_sp1,Spirurid_sp2,Oxyurid_sp1,Immature_trem,Unknown_nem,Unknown_trem,Cyst_nem
S1T2_003,Parophrys vetulus,-122.4243,47.7007,2019,156,129,1,0,0,0,0,0,1,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
S2T4_076,Parophrys vetulus,-122.4243,47.7007,2019,179,151,12,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
S2T4_077,Parophrys vetulus,-122.4243,47.7007,2019,208,175,26,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0
S3T1_161,Parophrys vetulus,-122.4243,47.7007,2019,167,139,0,0,0,0,0,4,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0
UW 026114,Parophrys vetulus,-122.4243,47.7007,1979,137,114,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0
UW 026115_01,Parophrys vetulus,-122.4601,47.66411,1975,120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 026115_02,Parophrys vetulus,-122.4601,47.66411,1975,139,116,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 026115_03,Parophrys vetulus,-122.4601,47.66411,1975,116,98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0
UW 026118_01,Parophrys vetulus,-122.6472,47.5463,1989,170,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 026119_01,Parophrys vetulus,-122.8371,47.22752,1980,188,157,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
